term,correct_form,capitalization,italic,hyphenation,quotes,discouraged_forms,notes
Высшее Целое,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"С прописной оба слова, когда имеется в виду Абсолют, Кришна."
Высший Абсолютный Дух,,,,,,,
Высший Дух,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"Может быть с прописной, когда имеется в виду Сам Господь."
Высший Разум,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"Может быть с прописной, когда имеется в виду Сам Господь."
вьякарана,,,yes,,,,Курсив.
вьяса-асана,,,yes,через дефис,,,"Курсив, через дефис."
вьясасана,вьяса-асана,,,,,,"Если это слово встретилось в тексте, то заменить на вьяса-асана."
в этой связи,,,,,,,"Употребляется как наречие со значением «связывая со сказанным выше» и служит своеобразной формулой перехода от одной мысли к другой. Но употребление сочетания «в этой связи» не рекомендуется вместо сочетания «в связи с этим», т.к. последнее выполняет в предложении иную функцию, а именно выражает причинную связь между частями высказывания. «В этой связи» характерно прежде всего для публицистики. «Наступает весна. В этой связи вспоминается такой случай из жизни» – корректно. Но: «Наступает весна. В связи с этим (не «в этой связи») проблема уборки дворовых территорий становится еще более актуальной»."
гавая,,,yes,,,,Курсив. Животное. Родительный падеж множественного числа – гавай.
ганджа,,,yes,,,,Курсив.
Гандива,,с прописной,no,,,,"Прямым с прописной. Со словом «лук» не склоняется: «Агни… подарил Арджуне чудесный лук Гандива». «Он взял в руки свой лук, Гандиву…»"
гандхарва,,,yes,,,,Курсив. Вид брака.
гандхарва-видхи,,,yes,,,,Курсив.
гандхарва-пура,,,yes,,,,Курсив.
гандхарвы,,,no,,,,Живые существа. Прямым шрифтом. Именительный падеж единственного числа – гандхарв. Родительный падеж множественного числа – гандхарвов.
ганды,,,yes,,,,Курсив. Родительный падеж множественного числа – ганд: «ценой пять ганд».
гарбхадана,,,yes,,,«Гарбхадхана»,Обряд. Курсив. «Гарбхадхана» – неправильно.
Гаудия-вайшнавизм,,первое слово с прописной,no,,,,"Всё прямым, первое слово с прописной."
гаудия-вайшнавский,,со строчной,no,,,,"Всё прямым, первое слово со строчной."
Гаудия-вайшнавы,,первое слово с прописной,no,,,,"Всё прямым, первое слово с прописной."
гауды,,,yes,,,,Курсив. Служители Божеств.
гаура-нагари,,,yes,,,,Курсив.
гауранга-нагари,,,yes,,,,Курсив. Название апасампрадаи.
Гаура-пурнима,,первое слово с прописной,no,,,,"Всё прямым, первое слово с прописной."
гаура-пуруша,,,yes,,,,Курсив.
гаятри,,,yes,,,,Курсив. В словосочетаниях типа мантра (мантры) гаятри – без диакритики.
где-то,,,,,,,Наречие «где-то» указывает на неопределенное место событий. Его использование в значении «приблизительно» или «как-то» является нежелательным.
ги,,,yes,,,,Курсив. Это слово среднего рода.
гладкокрашеный,,,,,,,Всегда с одним «н».
говорить,,,,,,,"Конструкции типа «говорить (разговаривать) русским языком», «они разговаривают языком формул» и т. п. – некорректны. Правильно – «говорить (разговаривать) на русском языке», «они разговаривают на языке формул»."
гомонить,,,,,,,Это слово некоторыми словарями определяется как просторечное.
Гопаштами,,с прописной,no,,,,Прямым с прописной.
гопи-чандана,,,yes,через дефис,,,"Курсив, через дефис."
госвами / Госвами,,с прописной/строчной — см. notes,conditional,,,«шестеро Госвами»,"Когда речь идет о шести Госвами Вриндавана, то прямым с прописной. Так же и в случаях типа «Джаядева Госвами». В других случаях – курсивом со строчной. В русских изданиях Би-би-ти принято писать «шесть Госвами», а не «шестеро Госвами»."
госвами-виддхи,,,yes,,,,Курсив. Так называется трансцендентное преданное служение.
Господь,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"Если имеется в виду не Сам Бог, а кто-то из полубогов, всё равно пишем с прописной: Господь Шива."
гоштхьянанди,,,yes,,,,Курсив.
грама-ниваси,,,yes,через дефис,,,"Курсив, через дефис."
грамматик / грамматист,,,,,,,В значении «специалист в области грамматики» слово грамматик – разговорное. Литературное – грамматист.
григорианский календарь,,оба слова со строчной,,,,,Оба слова со строчной.
грихамедхи,,,yes,,,,Курсив. Семейный человек – материалист.
грихастха,,,yes,,,,Курсив.
гулаб-джамун,,,yes,через дефис,,,"Курсив, через дефис."
гунджа,,,yes,,,,Курсив.
Гундича,,,,,,,Гундича – это имя жены знаменитого царя Индрадьюмны. В сочетании со словом «храм» корректно в родительном падеже: «храм Гундичи».
гуру,,,yes,,,,Курсив.
гурудева / Гурудева,,,,,,,"Примеры употребления: «наш гурудева», Шри Гурудева, Шрила Гурудева."
гурукула,,,yes,слитно,,,"Курсив, слитно."
гухьяки,,,no,,,,Прямым шрифтом. Именительный падеж единственного числа – гухьяка.
гхат,,со строчной,conditional,,,,В составных названиях мест для омовения – прямым со строчной: Дашашвамедха-гхат. В других случаях курсивом.
гхати,,,yes,,,,Промежуток времени. Курсив. Это слово женского рода.
даита-пати,,,yes,,,,Курсив.
даиты,,,yes,,,,Слуги Господа Джаганнатхи. Курсив.
дайтьи / Дайтьи,,с прописной/строчной — см. notes,no,,,,"Прямой шрифт. Родительный падеж множественного числа – дайтьев. В тех случаях, когда прослеживается акцент на этимологии этого слова («потомки Дити»), в описании событий с участием Хираньякашипу и Хираньякши лучше писать это слово с прописной: Дайтьи. А когда просто перечисляются разные виды живых существ («паннаги, дайтьи, якши, ракшасы, наги») и вообще когда речь идет о демонических существах (в более широком контексте, без всякого намека на их происхождение от Дити), то можно со строчной: дайтьи."
дакини,,,no,,,,Вид живых существ. Прямым шрифтом.
дал,,,yes,,,,"Курсив. То же и в названиях сортов дала: мунг-дал, урад-дал и т. п."
дамодара-лила,,,yes,,,,Курсив.
даравеша,,,yes,,,,Курсив. Название апасампрадаи.
даридра-нараяна,,,yes,,,,Курсив.
дарить подарок,,,,,,,"Словосочетание «дарить подарок» лексически избыточно. Лучше сказать «вручить подарок», «преподнести подарок», «сделать подарок»."
даршан,,,yes,,,,Курсив.
дая-бхак,,,yes,,,,Курсив.
два Господа,,,,,,«двух Господ»,"Если для этого словосочетания требуется родительный или винительный падеж, то лучше проконсультироваться с редактором. В любом случае «двух Господ» – некорректно."
двадаши,,с прописной/строчной — см. notes,conditional,,,,"Это слово мужского рода. Отдельное слово пишется курсивом. Если какой-то определенный день (т. е. сначала имя собственное), то всё словосочетание – прямым шрифтом, первое слово пишется с прописной, а слово «двадаши» – после дефиса со строчной: Вамана-двадаши."
дварака-лила,,,yes,,,,Курсив.
движение санкиртаны,,с прописной/строчной — см. notes,,,,,"Если имеется в виду ИСККОН, то слово «движение» – с прописной. В других случаях – со строчной."
Движение сознания Кришны,,с прописной/строчной — см. notes,,,,,"«Движение» – с прописной, «сознания» – со строчной."
девамайя,,,yes,,,,Курсив.
деварши,,,yes,,,,Курсив.
деваты,,,yes,,,,Курсив. Родительный падеж множественного числа – деват.
девы,,,yes,,,,"Полубоги, управляющие вселенной. Курсив. Именительный падеж единственного числа – дева. Родительный падеж множественного числа – девов."
демон,,,,,,«демон Агхасура»,"Сочетание слов «демон» и -асура – избыточно. Так, правильно будет сказать «Агхасура» или «демон Агха» (а не «демон Агхасура»)."
День явления / ухода,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"Когда речь идет о наших праздниках (явление Господа, явление и уход великих преданных), слово «День» пишется с прописной, а «явления» – со строчной. Так же и во множественном числе."
"Джагай и Мадхай, прописная / строчная:",,,,,,,"«Нитьянанда Прабху спас Джагая и Мадхая, а слуга Нитьянанды Прабху по Его милости способен спасти многие тысячи джагаев и мадхаев»."
джаганнатха-прасад,,,yes,,,,Курсив.
джана-ниваса,,,yes,,,,Курсив.
Джанмаштами,,с прописной,no,,,,Прямым с прописной.
джапа-мала,,,yes,через дефис,,,"Курсив, через дефис."
джата-госани,,,yes,,,,Курсив. Название апасампрадаи.
джая,,,no,,,,Прямым шрифтом. «Все присутствующие восклицали: «Джая! Намаха!»
джаянти,,,yes,,,,Курсив.
