id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-13886,т̣ха̄кура̄н̣ӣра,т̣ха̄кура̄н̣ӣра,,personal_name,т̣ха̄кура̄н̣ӣра,,yes,needs_review,,т̣ха̄кура̄н̣ӣра [2],vedabase_ru,vedabase_ru:index.html:т̣ха̄кура̄н̣ӣра,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13887,т̣ха̄куре,т̣ха̄куре,,personal_name,т̣ха̄куре,,yes,needs_review,,т̣ха̄куре [6],vedabase_ru,vedabase_ru:index.html:т̣ха̄куре,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13888,т̣ха̄курера,т̣ха̄курера,,personal_name,т̣ха̄курера,,yes,needs_review,,т̣ха̄курера [4],vedabase_ru,vedabase_ru:index.html:т̣ха̄курера,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13889,т̣ха̄курере,т̣ха̄курере,,personal_name,т̣ха̄курере,,yes,needs_review,,т̣ха̄курере [4],vedabase_ru,vedabase_ru:index.html:т̣ха̄курере,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-13890,тхакуром,тхакуром,,personal_name,тхакуром,,yes,no_diacritics_in_prose,,тхакуром [2],vedabase_ru,vedabase_ru:index.html:тхакуром,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-14685,чайтанья махапрабху,Чайтанья Махапрабху,,personal_name,Чайтанья Махапрабху,,no,no_diacritics_in_prose,,Чайтанья Махапрабху [2],vedabase_ru,"vedabase_ru:index.html:Поистине, Чайтанья Махапрабху — это Сам Господь Кришна. Не понимая этого, я, гордый своей ученостью, совершил тяжкий гре",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-14961,что ачарья,что ачарья,,personal_name,что ачарья,,no,no_diacritics_in_prose,,что ачарья [1],vedabase_ru,"vedabase_ru:index.html:Следует знать, что ачарья — это Я Сам, и никогда не относиться к нему непочтительно. Нельзя завидовать ему, считая его о",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15130,шанкарачарья,Шанкарачарья,,personal_name,Шанкарачарья,,no,no_diacritics_in_prose,,Шанкарачарья [1],bvks_ru,"bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шанкарачарья — воплощение Господа Шивы, основоположник философии имперсонализма",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15220,шачи (шачидеви,Шачи (Шачидеви,,personal_name,Шачи (Шачидеви,,no,no_diacritics_in_prose,,Шачи (Шачидеви [1],bvks_ru,"bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шачи (Шачидеви, Шачимата) — мать Чайтаньи Махапрабху",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15221,"шачи (шачидеви, шачимата)","Шачи (Шачидеви, Шачимата)",,personal_name,"Шачи (Шачидеви, Шачимата)",,no,no_diacritics_in_prose,,"Шачи (Шачидеви, Шачимата) [1]",bvks_ru,"bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шачи (Шачидеви, Шачимата) — мать Чайтаньи Махапрабху",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15222,шачидеви,Шачидеви,,personal_name,Шачидеви,,conditional,diacritics_in_quotes_only,,ш́ачӣдевӣ [2] | Шачидеви [1],bvks_ru,"vedabase_ru:index.html:ш́ачӣдевӣ | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шачи (Шачидеви, Шачимата) — мать Чайтаньи Махапрабху",,needs_review,auto-generated draft,yes,ш́ачӣдевӣ [2] | Шачидеви [1],vedabase_ru [2] | bvks_ru [1],high,review,,,,,,,
term-15224,шачимата,Шачимата,,personal_name,Шачимата,,conditional,diacritics_in_quotes_only,,ш́ачӣмата [2] | Шачимата [1],bvks_ru,"vedabase_ru:index.html:ш́ачӣмата | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шачи (Шачидеви, Шачимата) — мать Чайтаньи Махапрабху",,needs_review,auto-generated draft,yes,ш́ачӣмата [2] | Шачимата [1],vedabase_ru [2] | bvks_ru [1],high,review,,,,,,,
term-15225,шачимата),Шачимата),,personal_name,Шачимата),,no,no_diacritics_in_prose,,Шачимата) [1],bvks_ru,"bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шачи (Шачидеви, Шачимата) — мать Чайтаньи Махапрабху",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15590,шукадева госвами,Шукадева Госвами,,personal_name,Шукадева Госвами,,no,no_diacritics_in_prose,,Шукадева Госвами [1],bvks_ru,"bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Шукадева Госвами — великий мудрец, рассказчик «Шримад-Бхагаватам",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15653,эимата,эимата,,personal_name,эимата,,yes,no_diacritics_in_prose,,эимата [2],vedabase_ru,vedabase_ru:index.html:эимата,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15687,эка̄тмата̄м,эка̄тмата̄м,,personal_name,эка̄тмата̄м,,yes,needs_review,,эка̄тмата̄м [1],vedabase_ru,vedabase_ru:index.html:эка̄тмата̄м,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15728,этот чайтанья махапрабху,Этот Чайтанья Махапрабху,,personal_name,Этот Чайтанья Махапрабху,,no,no_diacritics_in_prose,,Этот Чайтанья Махапрабху [2],vedabase_ru,vedabase_ru:index.html:Этот Чайтанья Махапрабху — неграмотный санньяси и потому не знает Своих истинных обязанностей. Пребывая во власти чувств,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-15761,явление господа чайтаньи махапрабху,Явление Господа Чайтаньи Махапрабху,,personal_name,Явление Господа Чайтаньи Махапрабху,,no,no_diacritics_in_prose,,Явление Господа Чайтаньи Махапрабху [2],vedabase_ru,"vedabase_ru:index.html:Явление Господа Чайтаньи Махапрабху — океан нектара, который простирается без конца и без края. Тот, кто не собирает дра",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
