id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-10570,побеги на этой ветви,Побеги на этой ветви,,other,Побеги на этой ветви,,no,no_diacritics_in_prose,,Побеги на этой ветви [2],vedabase_ru,vedabase_ru:index.html:Побеги на этой ветви — это его ученики и ученики его учеников. Описать их всех чрезвычайно трудно,,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10571,повелитель гопи,Повелитель гопи,,other,Повелитель гопи,,no,no_diacritics_in_prose,,Повелитель гопи [2],vedabase_ru,"vedabase_ru:index.html:Повелитель гопи, Говинда, — главное божество Гокулы. Он всегда предается наслаждениям в обители, которую называют Голоко",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10572,"повелитель гопи, говинда","Повелитель гопи, Говинда",,other,"Повелитель гопи, Говинда",,no,no_diacritics_in_prose,,"Повелитель гопи, Говинда [2]",vedabase_ru,"vedabase_ru:index.html:Повелитель гопи, Говинда, — главное божество Гокулы. Он всегда предается наслаждениям в обители, которую называют Голоко",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10573,подумай: ведь наше тело,Подумай: ведь наше тело,,other,Подумай: ведь наше тело,,no,no_diacritics_in_prose,,Подумай: ведь наше тело [2],vedabase_ru,"vedabase_ru:index.html:Подумай: ведь наше тело — тоже видоизменение земли, как и то, что мы едим. Ты бранишь Меня понапрасну; что Мне еще сказа",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10575,поистине,Поистине,,other,Поистине,,no,no_diacritics_in_prose,,Поистине [2],vedabase_ru,"vedabase_ru:index.html:Поистине, Чайтанья Махапрабху — это Сам Господь Кришна. Не понимая этого, я, гордый своей ученостью, совершил тяжкий гре",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10577,политика цементирования,Политика цементирования,,other,Политика цементирования,,no,no_diacritics_in_prose,,Политика цементирования [1],bvks_ru,bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:Политика цементирования» – «Гауд̣ӣя» 15.516,,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10578,полубоги,Полубоги,,other,Полубоги,,no,no_diacritics_in_prose,,Полубоги [1],bvks_ru,"bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Полубоги — обитатели высших планет вселенной, главные из них назначаются Верховным Господом для управления вселенной. Ма",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10579,поскольку господь чайтанья,Поскольку Господь Чайтанья,,other,Поскольку Господь Чайтанья,,no,no_diacritics_in_prose,,Поскольку Господь Чайтанья [2],vedabase_ru,"vedabase_ru:index.html:Поскольку Господь Чайтанья — это Сама Параматма, Он узнал о смерти Лакшмидеви. И чтобы утешить Свою мать, Шачидеви, силь",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10580,поскольку его единственное занятие,Поскольку Его единственное занятие,,other,Поскольку Его единственное занятие,,no,no_diacritics_in_prose,,Поскольку Его единственное занятие [2],vedabase_ru,"vedabase_ru:index.html:Поскольку Его единственное занятие — учить людей преданному служению, Его зовут Адвайтой Ачарьей",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10581,поскольку кришна,Поскольку Кришна,,other,Поскольку Кришна,,no,no_diacritics_in_prose,,Поскольку Кришна [2],vedabase_ru,"vedabase_ru:index.html:Поскольку Кришна — это и материя, и дух, гигантская вселенская форма, охватывающая все мироздание, также является Кришно",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10582,поскольку он,Поскольку Он,,other,Поскольку Он,,no,no_diacritics_in_prose,,Поскольку Он [2],vedabase_ru,"vedabase_ru:index.html:Поскольку Он — часть тела, или экспансия, лотосоокого Верховного Господа, Его называют еще Камалакшей",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10583,поскольку он господь [ишвара],Поскольку Он Господь [ишвара],,other,Поскольку Он Господь [ишвара],,no,no_diacritics_in_prose,,Поскольку Он Господь [ишвара] [2],vedabase_ru,"vedabase_ru:index.html:Поскольку Он Господь [ишвара], — сказал брахман, — Он, несомненно, сможет наставить тебя на правильный путь",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10584,почему бы и нет,Почему бы и нет,,other,Почему бы и нет,,no,no_diacritics_in_prose,,Почему бы и нет [1],vedabase_ru,"vedabase_ru:index.html:Почему бы и нет?» — ответил сапожник, — «Конечно же верю",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10591,поэтому,Поэтому,,other,Поэтому,,no,no_diacritics_in_prose,,Поэтому [2],vedabase_ru,"vedabase_ru:index.html:Поэтому, — сказал Господь Санатане, — Я перечислю лишь самые главные лила-аватары",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10592,поэтому господь кришна,Поэтому Господь Кришна,,other,Поэтому Господь Кришна,,no,no_diacritics_in_prose,,Поэтому Господь Кришна [2],vedabase_ru,"vedabase_ru:index.html:Поэтому Господь Кришна — изначальная причина возникновения мироздания. Пракрити сродни сосцам на шее козы, которые не да",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10593,поэтому радха,Поэтому Радха,,other,Поэтому Радха,,no,no_diacritics_in_prose,,Поэтому Радха [2],vedabase_ru,"vedabase_ru:index.html:Поэтому Радха — высшая богиня [парама-девата], достойная всеобщего почитания. Она покровительница каждого, мать вселенно",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-10594,поэтому ты,Поэтому Ты,,other,Поэтому Ты,,no,no_diacritics_in_prose,,Поэтому Ты [4],vedabase_ru,"vedabase_ru:index.html:Поэтому Ты — предвечный Господь, изначальный отец всех и каждого. Они [пуруша-аватары] поддерживают вселенную лишь благо | vedabase_ru:index.html:Поэтому Ты — изначальный Нараяна. Это — мой первый довод. Теперь, пожалуйста, выслушай второй",,draft,auto-generated draft,no,,,low,review,,,,,,,
